  ,Crypto  ,Num Subidas (Real) ,Perc Subidas (Real) ,Num Quedas (Real) ,Num Subidas (Pred) ,Perc Subidas (Pred) ,Num Quedas (Pred) ,MAE                  ,Acc                ,Sen                ,Spe                ,Pre                ,Lower bound dos 10% maiores ,Precisao para maiores que 0.008
0 ,BTC-USD ,               476 ,  53.96825396825397 ,              406 ,               529 ,  59.97732426303855 ,              353 ,0.03171048339533004  ,0.4456967213114754 ,0.5861344537815126 ,0.3842364532019704 ,0.5274102079395085 ,         0.0130246393382549 ,              0.528
1 ,LTC-USD ,               417 ,  47.27891156462585 ,              465 ,               417 ,  47.27891156462585 ,              465 ,0.043312718521597966 ,0.5482717520858165 ,0.4940047961630695 ,0.546236559139785  ,0.4940047961630695 ,         0.0143886636942625 ,              0.484472049689441
