,profit,cumulative_profit
2023-04-28,1.0003,1.0003
2023-04-29,1.0003,1.0006000899999998
2023-04-30,1.0003,1.0009002700269998
2023-05-01,1.0003,1.0012005401080077
2023-05-02,1.021325641577917,1.0225517839739682
2023-05-03,1.0003,1.0228585495091604
2023-05-04,1.0003,1.0231654070740133
2023-05-05,1.0003,1.0234723566961355
2023-05-06,1.0003,1.0237793984031442
2023-05-07,1.0003,1.024086532222665
2023-05-08,1.0003,1.024393758182332
2023-05-09,1.0216094190664955,1.0465303121919962
2023-05-10,1.0003,1.0468442712856538
2023-05-11,1.0003,1.0471583245670395
2023-05-12,1.0003,1.0474724720644095
2023-05-13,1.0003,1.0477867138060288
2023-05-14,1.0003,1.0481010498201706
2023-05-15,1.0003,1.0484154801351167
2023-05-16,1.0003,1.0487300047791572
2023-05-17,1.0447631251693685,1.0956744372519591
2023-05-18,1.0003,1.0960031395831347
2023-05-19,1.0003,1.0963319405250096
2023-05-20,1.0003,1.0966608401071671
2023-05-21,1.0003,1.0969898383591992
2023-05-22,1.0003,1.097318935310707
2023-05-23,1.0003,1.0976481309913
2023-05-24,1.0003,1.0979774254305974
2023-05-25,1.0003,1.0983068186582265
2023-05-26,1.0003,1.098636310703824
2023-05-27,1.0003,1.098965901597035
2023-05-28,1.0034204482260225,1.102724857565612
2023-05-29,0.9898666145971762,1.0915505215906256
2023-05-30,1.0003,1.0918779867471027
2023-05-31,0.9853406839902432,1.0758718022952798
2023-06-01,1.0003,1.0761945638359682
2023-06-02,1.106721644767495,1.1910478177783796
2023-06-03,1.0003,1.1914051321237131
2023-06-04,0.9822175469516591,1.1702190263001708
2023-06-05,0.9615606396751405,1.1252365554892123
2023-06-06,1.058552286023967,1.19112172813084
2023-06-07,1.0003,1.1914790646492792
2023-06-08,1.0003,1.191836508368674
2023-06-09,1.0003,1.1921940593211846
2023-06-10,1.0003,1.1925517175389808
2023-06-11,1.0003,1.1929094830542424
2023-06-12,1.0003,1.1932673558991587
2023-06-13,1.0003,1.1936253361059284
2023-06-14,1.0003,1.1939834237067601
2023-06-15,1.0003,1.1943416187338722
2023-06-16,1.0003,1.1946999212194924
2023-06-17,1.0003,1.1950583311958582
2023-06-18,1.0003,1.195416848695217
2023-06-19,1.0003,1.1957754737498256
2023-06-20,1.0003,1.1961342063919504
2023-06-21,1.0606113350098663,1.2686334974923335
2023-06-22,1.0115929422994725,1.28334069242794
2023-06-23,1.0003,1.2837256946356683
2023-06-24,1.0125476897190384,1.2998334863363137
2023-06-25,0.9836717034798151,1.2786094197445488
2023-06-26,1.0003,1.278993002570472
2023-06-27,1.0003,1.2793767004712433
2023-06-28,0.9801178229009396,1.2539399063360626
2023-06-29,1.0003,1.2543160883079634
2023-06-30,1.0003,1.2546923831344556
2023-07-01,0.9934260800705312,1.2464441358716154
2023-07-02,1.0558758445801717,1.3160902546854443
2023-07-03,1.0003,1.3164850817618499
2023-07-04,1.0003,1.3168800272863783
2023-07-05,0.9999480906945465,1.3168116689587963
2023-07-06,1.0003,1.317206712459484
2023-07-07,1.0003,1.3176018744732219
2023-07-08,1.0160431276552648,1.338740329544212
2023-07-09,0.9686059566299439,1.2967118575772578
2023-07-10,0.9984067744607519,1.2946459031287199
2023-07-11,1.0003,1.2950342968996584
2023-07-12,1.0025518983338164,1.2983390927641518
2023-07-13,1.0003,1.298728594491981
2023-07-14,0.9592581531431879,1.245815992986626
2023-07-15,0.9993320798452431,1.2449838873757917
2023-07-16,0.964815731519664,1.2011800400286694
2023-07-17,1.0596088360565443,1.2727809841091318
2023-07-18,0.9626924743765337,1.2252966749314196
2023-07-19,0.9953686798306142,1.2196219337273284
2023-07-20,0.9772243411974202,1.191844240696612
2023-07-21,1.003789425310798,1.1963606454288367
2023-07-22,1.0003,1.1967195536224653
2023-07-23,1.0031883065618616,1.200535062427988
2023-07-24,1.0003,1.2008952229467165
2023-07-25,1.0003,1.2012554915136004
2023-07-26,1.0473444057677108,1.2581282189345113
2023-07-27,1.0003,1.2585056574001916
2023-07-28,1.0003,1.2588832090974116
2023-07-29,1.0003,1.2592608740601408
2023-07-30,0.9949311582703899,1.2528778799932394
2023-07-31,1.0003,1.2532537433572373
2023-08-01,1.0079125571284102,1.2631701851979453
2023-08-02,1.0003,1.2635491362535047
2023-08-03,1.0003,1.2639282009943806
2023-08-04,0.9976973775511653,1.2610178515450556
2023-08-05,0.992919156260052,1.2520887811849801
2023-08-06,0.9930350398831893,1.2433680327613206
2023-08-07,1.0003,1.2437410431711489
2023-08-08,1.0209932044483967,1.269851153171303
2023-08-09,1.0003,1.2702321085172543
2023-08-10,1.0070521879585046,1.2791900240974456
2023-08-11,0.9988718176531203,1.2777468644939542
2023-08-12,1.0003,1.2781301885533023
2023-08-13,1.0003,1.2785136276098683
2023-08-14,1.0003,1.2788971816981511
2023-08-15,1.0003,1.2792808508526605
2023-08-16,0.9594154833574652,1.2273618558707546
2023-08-17,1.0003,1.2277300644275158
2023-08-18,1.0003,1.228098383446844
2023-08-19,1.0147118393519274,1.2461659695724756
2023-08-20,1.0003,1.2465398193633472
2023-08-21,1.0003,1.2469137813091562
2023-08-22,1.0003,1.247287855443549
2023-08-23,1.0003,1.247662041800182
2023-08-24,1.0003,1.248036340412722
2023-08-25,1.0003,1.2484107513148457
2023-08-26,1.0003,1.2487852745402401
2023-08-27,1.0003,1.249159910122602
2023-08-28,1.0003,1.2495346580956388
2023-08-29,1.0595371858866598,1.3239284353065028
2023-08-30,0.984533756746295,1.3034522360755554
2023-08-31,1.0003,1.303843271746378
2023-09-01,1.0003,1.3042344247279019
2023-09-02,1.0003,1.3046256950553201
2023-09-03,1.0003,1.3050170827638368
2023-09-04,1.0003,1.3054085878886659
2023-09-05,1.0003,1.3058002104650324
2023-09-06,1.0003,1.3061919505281718
2023-09-07,1.013731084678214,1.3241273828068756
2023-09-08,1.0009360939622693,1.3253668904551965
2023-09-09,1.0003,1.325764500522333
2023-09-10,1.0003,1.3261622298724898
2023-09-11,1.0003,1.3265600785414515
2023-09-12,1.0003,1.326958046565014
2023-09-13,1.0003,1.3273561339789834
2023-09-14,1.0003,1.3277543408191772
2023-09-15,1.0003,1.328152667121423
2023-09-16,1.0040996522094048,1.333597631137614
2023-09-17,1.0003,1.3339977104269554
2023-09-18,1.0003,1.3343979097400833
2023-09-19,1.013238883495825,1.3520638482042047
2023-09-20,1.0134080789461108,1.370192427021109
2023-09-21,0.9668954951344626,1.3248328851540663
2023-09-22,1.0003,1.3252303350196124
2023-09-23,1.0003,1.3256279041201182
2023-09-24,1.0003,1.3260255924913542
2023-09-25,1.0003,1.3264234001691015
2023-09-26,0.9838826789607041,1.3050450083945417
2023-09-27,1.0003,1.30543652189706
2023-09-28,1.0236318100634845,1.336286349832467
2023-09-29,1.0003,1.3366872357374169
2023-09-30,0.9948509645686419,1.3298045857999607
2023-10-01,1.0003,1.3302035271757007
2023-10-02,0.9840577303137833,1.308997063807909
2023-10-03,1.0078208904597885,1.3192345864561354
2023-10-04,1.0003,1.3196303568320722
2023-10-05,1.0003,1.3200262459391219
2023-10-06,1.0003,1.3204222538129036
2023-10-07,0.9844226750853783,1.299853607340763
2023-10-08,1.0003,1.3002435634229652
2023-10-09,1.0003,1.3006336364919922
2023-10-10,1.0003,1.3010238265829397
2023-10-11,0.9955765101697297,1.2952687609171107
2023-10-12,1.0003,1.2956573415453858
2023-10-13,1.0003,1.2960460387478494
2023-10-14,1.0003,1.2964348525594738
2023-10-15,1.0003,1.2968237830152416
2023-10-16,1.0003,1.2972128301501462
2023-10-17,1.0003,1.2976019939991912
2023-10-18,1.0003,1.297991274597391
2023-10-19,1.0003,1.2983806719797701
2023-10-20,1.0003,1.298770186181364
2023-10-21,1.0003,1.2991598172372185
2023-10-22,1.1379099102225219,1.4783268309971112
2023-10-23,1.0628336106533438,1.5712154435143753
2023-10-24,0.962548707290984,1.512371394030392
2023-10-25,1.022911806451276,1.5470225546928629
2023-10-26,0.9914089372765114,1.5337319868908448
2023-10-27,0.9809220531642819,1.504471529584701
2023-10-28,0.9862964477033026,1.4838549253001447
2023-10-29,1.0137891719926706,1.50431605607728
2023-10-30,1.025156951523455,1.5421600621759712
2023-10-31,1.1018221377902364,1.6991860965214525
2023-11-01,1.0765580949303817,1.8292725470033264
2023-11-02,0.9728224708938457,1.7795574391140545
2023-11-03,1.0269468586407988,1.8275109218690428
2023-11-04,1.0003,1.8280591751456035
2023-11-05,1.0494965615247944,1.9185418185791627
2023-11-06,1.0003,1.9191173811247364
2023-11-07,1.0008351756707816,1.9207201812708259
2023-11-08,1.0113930652375893,1.9426030715991989
2023-11-09,1.0003,1.9431858525206787
2023-11-10,1.2464985987343489,2.422178442247437
2023-11-11,1.0575872377496014,2.561665008073099
2023-11-12,1.0003,2.562433507575521
2023-11-13,0.9241077396032258,2.36796463656918
2023-11-14,0.9830280625964152,2.327775688983426
2023-11-15,1.0815146842767474,2.5175235893379977
2023-11-16,0.9246589559311892,2.327850733649413
2023-11-17,0.9876270476949474,2.299048347548687
2023-11-18,1.0021192861611272,2.3039206888954094
2023-11-19,1.040439589692299,2.397090296237939
2023-11-20,0.969239094834919,2.3233536289632277
2023-11-21,0.9353478754463259,2.1731438807612666
2023-11-22,1.058273255038641,2.2997800483605295
2023-11-23,1.0003,2.3004699823750374
2023-11-24,1.008305457992433,2.319576439176507
2023-11-25,1.0211884541602338,2.3687246782291567
2023-11-26,0.9897948276727451,2.3445514346920064
2023-11-27,1.0003,2.345254800122414
2023-11-28,1.0454903063326997,2.451941159408217
2023-11-29,1.0003,2.4526767417560396
2023-11-30,0.9997624695943759,2.4520941564547054
