Date,Crypto_Return_Today,exp_value,ae
2014-09-17,-0.005390145205131258,,
2014-09-18,-0.07802410287372545,,
2014-09-19,-0.0798021795031681,,
2014-09-20,-0.009926191895545692,,
2014-09-21,-0.004031018458004363,,
2014-09-22,-0.0008435380244513058,,
2014-09-23,0.11286130915430345,,
2014-09-24,-0.01645139672781692,,
2014-09-25,-0.0329488636203874,,
2014-09-26,-0.01707203697395834,,
2014-09-27,-0.002843195477584354,,
2014-09-28,-0.044219111335332975,,
2014-09-29,0.002159262638931477,,
2014-09-30,0.05101184709274338,,
2014-10-01,-0.009528756900585607,-0.008965668657794846,0.0005630882427907612
2014-10-02,-0.024562504350989882,-0.009261283778898729,0.015301220572091153
2014-10-03,-0.0339641211393793,-0.005442598170131902,0.028521522969247398
2014-10-04,-0.057942596901071015,-0.002168451144146988,0.05577414575692403
2014-10-05,-0.06360558828465601,-0.005598194358827367,0.05800739392582865
2014-10-06,0.03171388587810722,-0.009853520775016772,0.041567406653123994
2014-10-07,0.01180937701923235,-0.007527990496262591,0.01933736751549494
2014-10-08,0.013504703076327836,-0.01474598564876767,0.028250688725095507
2014-10-09,-0.002038621664780341,-0.0126062642341859,0.01056764256940556
2014-10-10,-0.02374028865007139,-0.010398389808785395,0.013341898841285995
2014-10-11,-0.006146450630376456,-0.01087469349993633,0.0047282428695598734
2014-10-12,0.019340025199936904,-0.011110640296564335,0.030450665496501238
2014-10-13,0.003980133317378112,-0.006570701972616487,0.0105508352899946
2014-10-14,0.05325655533147867,-0.00644063978129887,0.05969719511277754
2014-10-15,-0.0050582282424417885,-0.006280303478532064,0.0012220752360902754
2014-10-16,-0.016611950289181294,-0.0059609800029503624,0.01065097028623093
2014-10-17,0.00045834166341831174,-0.0053930832842497495,0.005851424947668061
2014-10-18,0.01593838178919262,-0.0029343359411927775,0.018872717730385395
2014-10-19,-0.016777711088979203,0.0023428768223974815,0.019120587911376684
2014-10-20,-0.018684508316029177,0.005687725193517254,0.024372233509546433
2014-10-21,0.007185676825385759,0.0020878398939360816,0.0050978369314496775
2014-10-22,-0.02508524137031828,0.0017575755943756107,0.026842816964693893
2014-10-23,-0.028293819478731785,-0.0009988490089562546,0.02729497046977553
2014-10-24,0.0021477048005836756,-0.0028742202813813573,0.005021925081965033
2014-10-25,-0.021893213155872112,-0.0010250778920488529,0.020868135263823258
2014-10-26,0.015746377022074758,-0.002149846643869971,0.01789622366594473
2014-10-27,0.022108443718260946,-0.002406535799431553,0.0245149795176925
2014-10-28,0.00882706818697848,-0.0011116564850827792,0.009938724672061259
2014-10-29,-0.033230734813066064,-0.004285191281118507,0.028945543531947556
2014-10-30,0.013659167616810838,-0.006297513179020241,0.01995668079583108
2014-10-31,-0.008131510972130414,-0.004135290471449374,0.00399622050068104
2014-11-01,-0.05079940702907646,-0.0047488513739885685,0.046050555655087894
2014-11-02,0.0022954437348354753,-0.009515836289579218,0.011811280024414693
2014-11-03,-0.0021915706750695665,-0.008153468087878169,0.005961897412808602
2014-11-04,0.0031621940403784477,-0.006975401113523911,0.010137595153902359
2014-11-05,0.015076639949489839,-0.007262792741024433,0.02233943269051427
2014-11-06,0.0020352087155759055,-0.004394086932466711,0.006429295648042616
2014-11-07,-0.02561522819100235,-0.0022277277757304466,0.023387500415271902
2014-11-08,-0.00010960756580710224,-0.004210794417986591,0.004101186852179489
2014-11-09,0.02132467795415788,-0.0026548225901248047,0.023979500544282686
2014-11-10,0.01732356203261735,-0.002256372523547439,0.019579934556164788
2014-11-11,-0.006134745590059632,-0.0025981497868076955,0.0035365958032519363
2014-11-12,0.10046210159754401,-0.0036668507708818468,0.10412895236842586
2014-11-13,-0.008584992907771736,0.00588263754416173,0.014467630451933465
2014-11-14,-0.023810711269579496,0.004293768935262975,0.02810448020484247
2014-11-15,-0.035160273429392784,0.0031738260568737542,0.03833409948626654
2014-11-16,0.010988052496971755,0.00429090702827973,0.006697145468692025
2014-11-17,-0.0008043170239086876,0.004911807654146608,0.0057161246780552954
2014-11-18,-0.027466932562343494,0.0050108972006581,0.03247782976300159
2014-11-19,0.007248912820477775,0.0028231024433208176,0.004425810377156957
2014-11-20,-0.0526939294580505,0.002263979076962813,0.05495790853501331
2014-11-21,-0.03301279518343808,-0.0016452450782962161,0.03136755010514187
2014-11-22,0.006306525811007296,-0.002173642720613054,0.00848016853162035
2014-11-23,0.020115547726680016,-0.0017153474794120254,0.021830895206092042
2014-11-24,0.009389282265493114,-0.0018017139242318733,0.011190996189724987
2014-11-25,-0.015983661109808287,-0.002368448193312176,0.013615212916496111
2014-11-26,-0.0023704189428034265,-0.003071942159008508,0.0007015232162050815
2014-11-27,-0.0014568233032468568,-0.010417122197604755,0.008960298894357899
2014-11-28,0.012023018156976083,-0.009907967225852975,0.02193098538282906
2014-11-29,-0.005125868454623583,-0.00734841512395615,0.0022225466693325665
2014-11-30,-0.0027561438847364924,-0.0052031004829012064,0.002446956598164714
2014-12-01,0.00043345621271025607,-0.006184828795880367,0.006618285008590623
2014-12-02,0.014734410350978779,-0.006096416421836157,0.020830826772814934
2014-12-03,-0.004414361046770047,-0.0030820347851702795,0.0013323262615997679
2014-12-04,-0.005294092051475327,-0.003915125775687982,0.001378966275787345
2014-12-05,0.006694159271996682,-0.0005294231037897548,0.007223582375786437
2014-12-06,-0.0003982612017603318,0.0023067879287413,0.002705049130501632
2014-12-07,0.026086634149697033,0.0018278745706864692,0.024258759579010563
2014-12-08,-0.01498894746732946,0.002254380743759113,0.017243328211088572
