           ,profit             ,cumulative_profit
2019-11-27 ,1.0002             , 1.0002
2019-11-28 ,1.0002             , 1.00040004
2019-11-29 ,1.0002             , 1.000600120008
2019-11-30 ,1.0002             , 1.0008002400320015
2019-12-01 ,1.0002             , 1.001000400080008
2019-12-02 ,1.0002             , 1.001200600160024
2019-12-03 ,1.0002             , 1.001400840280056
2019-12-04 ,1.0002             , 1.0016011204481121
2019-12-05 ,1.0122669426446915 , 1.0138877039455079
2019-12-06 ,1.0002             , 1.014090481486297
2019-12-07 ,1.0002             , 1.0142932995825942
2019-12-08 ,1.0002             , 1.0144961582425107
2019-12-09 ,1.0002             , 1.0146990574741592
2019-12-10 ,1.0002             , 1.0149019972856541
2019-12-11 ,1.0002             , 1.0151049776851113
2019-12-12 ,1.0002             , 1.0153079986806484
2019-12-13 ,1.0002             , 1.0155110602803845
2019-12-14 ,1.0002             , 1.0157141624924406
2019-12-15 ,1.0002             , 1.015917305324939
2019-12-16 ,1.0002             , 1.016120488786004
2019-12-17 ,1.0002             , 1.0163237128837612
2019-12-18 ,1.0002             , 1.016526977626338
2019-12-19 ,1.0002             , 1.0167302830218632
2019-12-20 ,1.0002             , 1.0169336290784676
2019-12-21 ,1.0002             , 1.0171370158042834
2019-12-22 ,1.0002             , 1.0173404432074442
2019-12-23 ,1.0002             , 1.0175439112960856
2019-12-24 ,1.0002             , 1.0177474200783447
2019-12-25 ,1.0002             , 1.0179509695623603
2019-12-26 ,1.0002             , 1.0181545597562727
2019-12-27 ,1.0002             , 1.018358190668224
2019-12-28 ,1.0002             , 1.0185618623063577
2019-12-29 ,1.0002             , 1.018765574678819
2019-12-30 ,1.0002             , 1.0189693277937546
2019-12-31 ,1.0002             , 1.0191731216593134
2020-01-01 ,1.0002             , 1.0193769562836452
2020-01-02 ,1.0002             , 1.019580831674902
2020-01-03 ,1.0002             , 1.019784747841237
2020-01-04 ,1.0002             , 1.0199887047908052
2020-01-05 ,1.0002             , 1.0201927025317632
2020-01-06 ,1.0002             , 1.0203967410722696
2020-01-07 ,0.994678159890146  , 1.014966352767667
2020-01-08 ,1.0002             , 1.0151693460382205
2020-01-09 ,1.0002             , 1.0153723799074281
2020-01-10 ,1.0002             , 1.0155754543834097
2020-01-11 ,1.012952077931307  , 1.0287292668137062
2020-01-12 ,1.0002             , 1.0289350126670689
2020-01-13 ,0.9806345386074417 , 1.0090092114038132
2020-01-14 ,1.0002             , 1.0092110132460939
2020-01-15 ,1.0002             , 1.0094128554487432
2020-01-16 ,1.0318366806985586 , 1.0415492102206851
2020-01-17 ,1.0002             , 1.0417575200627291
2020-01-18 ,0.9691011358311704 , 1.009568395953454
2020-01-19 ,1.0002             , 1.0097703096326447
2020-01-20 ,1.0002             , 1.0099722636945712
2020-01-21 ,1.0310972229795952 , 1.0413795963818877
2020-01-22 ,0.9937961292465505 , 1.034919011960655
2020-01-23 ,1.0002             , 1.0351259957630472
2020-01-24 ,1.0002             , 1.0353330209621998
2020-01-25 ,0.9617505782036726 , 0.9957321315437507
2020-01-26 ,1.030846079447823  , 1.0264465639820994
2020-01-27 ,1.0002             , 1.0266518532948958
2020-01-28 ,1.0002             , 1.026857183665555
2020-01-29 ,1.0002             , 1.027062555102288
2020-01-30 ,1.0002             , 1.0272679676133085
2020-01-31 ,1.0002             , 1.027473421206831
2020-02-01 ,1.0419050878556406 , 1.070529785191839
2020-02-02 ,0.9939048910984947 , 1.0640047895687896
2020-02-03 ,1.0066681363933312 , 1.071099718628792
2020-02-04 ,0.9845544222202038 , 1.0545559646147933
2020-02-05 ,1.0002             , 1.0547668758077162
2020-02-06 ,1.0002             , 1.0549778291828777
2020-02-07 ,1.0490315238947117 , 1.106704999822849
2020-02-08 ,1.0029895949443066 , 1.1100135994951583
2020-02-09 ,1.0002             , 1.1102356022150572
2020-02-10 ,0.9784942413472655 , 1.0863591433061468
2020-02-11 ,1.0002             , 1.086576415134808
2020-02-12 ,1.0684715810548806 , 1.1609760202160326
2020-02-13 ,1.0034501514256258 , 1.1649815632872984
2020-02-14 ,1.0645835853805121 , 1.2402202495465862
2020-02-15 ,0.9048314451244879 , 1.1221902806698905
2020-02-16 ,1.0002             , 1.1224147187260245
2020-02-17 ,0.9652427037712059 , 1.0834026178557055
2020-02-18 ,1.0531289682535845 , 1.1409626811456115
2020-02-19 ,0.9229382361215239 , 1.0530380844170153
2020-02-20 ,0.9808810343704568 , 1.0329050854744464
2020-02-21 ,1.0166600244071398 , 1.0501133094087094
2020-02-22 ,0.9554862140206734 , 1.0033687902996478
2020-02-23 ,1.0469460842614784 , 1.0504730260743926
2020-02-24 ,0.943815642438031  , 0.9914528739682253
2020-02-25 ,0.8977322962751396 , 0.8900592651960816
2020-02-26 ,0.8571787254863605 , 0.7629398665481038
2020-02-27 ,1.0078645564584054 , 0.7689400502029397
2020-02-28 ,1.0373122408926516 , 0.7976309265881194
2020-02-29 ,0.9783766356394258 , 0.7803834624372421
2020-03-01 ,0.9851788921516635 , 0.7688173149774015
2020-03-02 ,1.0002             , 0.7689710784403969
2020-03-03 ,1.0772149555119797 , 0.8283471460521712
2020-03-04 ,0.9997890890836343 , 0.8281724385965284
2020-03-05 ,1.0169240031847473 , 0.842188431584856
2020-03-06 ,0.9911714557778764 , 0.8347531337732481
2020-03-07 ,0.9458165948433445 , 0.7895233665202244
2020-03-08 ,0.9408522129163246 , 0.7428248065396995
2020-03-09 ,0.9951048341936994 , 0.7391885559466546
2020-03-10 ,0.9896644515803513 , 0.7315486368354177
