,Crypto,Num Subidas (Real),Perc Subidas (Real),Num Quedas (Real),Num Subidas (Pred),Perc Subidas (Pred),Num Quedas (Pred),MAE,Acc,Sen,Spe,Pre,Lower bound dos 10% maiores,Precisao para maiores que 0.008
0,BTC-USD,242,52.26781857451404,221,225,48.59611231101512,238,0.023592888577626436,0.5226781857451404,0.5082644628099173,0.5384615384615384,0.5466666666666666,0.0035289614461362,0.5603448275862069
1,LTC-USD,217,46.868250539956804,246,195,42.11663066954644,268,0.035290009564460906,0.5118790496760259,0.42857142857142855,0.5853658536585366,0.47692307692307695,0.0030198618769645,0.45689655172413796
