,Crypto,Num Subidas (Real),Perc Subidas (Real),Num Quedas (Real),Num Subidas (Pred),Perc Subidas (Pred),Num Quedas (Pred),MAE,Acc,Sen,Spe,Pre,Lower bound dos 10% maiores,Precisao para maiores que 0.008
0,BTC-USD,56,56.0,44,52,52.0,48,0.03510970875390329,0.52,0.5357142857142857,0.5,0.5769230769230769,0.01115877312696551,0.56
1,ETH-USD,52,52.0,48,38,38.0,62,0.03332686925886724,0.48,0.36538461538461536,0.6041666666666666,0.5,0.004386975969626251,0.56
