Date,diff_Aux_Price,diff_Crypto_Price,Crypto_Return_Today
2021-12-02,0.35409131033170027,0.4812966456088832,-0.02621739525583355
2021-12-03,0.3376529736495133,0.4495775762938141,-0.07902963931712535
2021-12-04,0.29710914323622895,0.3876151462487698,-0.1442207851902818
2021-12-05,0.25126963418625436,0.2963141955057722,-0.04100844269754326
2021-12-06,0.33181890465095343,0.36144565552915875,0.033767050792581826
2021-12-07,0.3595890559148831,0.4413614639826404,0.0031419108525002487
2021-12-08,0.34514932642186125,0.4350677799215079,0.01944196558419447
2021-12-09,0.33960040118709856,0.4559384236655477,-0.08316569623730051
2021-12-10,0.28632451586614494,0.3641714693288378,-0.021017017464092468
2021-12-11,0.32609436046003104,0.3999951227842775,0.06064730505457069
2021-12-12,0.380649362021904,0.483892086967594,0.008063792306731134
2021-12-13,0.36307222843723963,0.46098683888513836,-0.09760290135022678
2021-12-14,0.27830028354633995,0.3553903750730312,0.010016923010301599
2021-12-15,0.36935526654693085,0.4579303578103202,0.01909863197168826
2021-12-16,0.35574346968020265,0.4600304835837967,-0.030216108677048558
2021-12-17,0.3202765631932696,0.41738139955812414,-0.03165399267587894
2021-12-18,0.31002024056081723,0.4034409773694767,0.03096217594397756
2021-12-19,0.35035098543447774,0.45811534329275094,0.028943895546865335
2021-12-20,0.33877892273418375,0.472881566495821,-0.004130949380915006
2021-12-21,0.34527847344101836,0.44674242763146044,0.01575322520624972
2021-12-22,0.3855115801703217,0.4631305074198808,0.002792371473409356
2021-12-23,0.3441432323992508,0.4548620142032265,0.049607912757885404
2021-12-24,0.39005157788737677,0.50021080981025,-0.013117806237842929
2021-12-25,0.3543865038126164,0.452774986810323,-0.02321121596543209
2021-12-26,0.34157087460241264,0.4314056442344638,-0.011354900872404233
2021-12-27,0.3542185611075048,0.4329287069662655,-2.4177865693682713e-05
2021-12-28,0.3453543605403979,0.44256210740953605,-0.06690960315899595
2021-12-29,0.2842035809453396,0.3770982503237601,-0.002910931285873726
2021-12-30,0.31074861008803545,0.4192356370072021,0.018377938043261374
2021-12-31,0.3492743382887049,0.4464283826323756,-0.011501003030776318
2022-01-01,0.32248508007635834,0.4271273788844496,0.02799703814906317
2022-01-02,0.36715271992200016,0.46277093708607975,0.00377684046160073
2022-01-03,0.3381098589671918,0.45033707335673867,-0.018696373603834623
2022-01-04,0.3239104884395889,0.4273172541357457,-0.011213113458838868
2022-01-05,0.3275629124317003,0.42739604820052257,-0.07583815009066402
2022-01-06,0.2869147812710917,0.36052007760697435,0.003129110879339544
2022-01-07,0.32181575576262667,0.4156603827181842,-0.03734602272097362
2022-01-08,0.2964972644419337,0.38549941741901694,-0.010376187439833621
2022-01-09,0.33400592977044674,0.40351301808070694,0.00888163318435279
2022-01-10,0.3388995370597989,0.4258270196218241,-0.034636563796340086
2022-01-11,0.3348691060144162,0.3898033981815727,0.03653240748252948
2022-01-12,0.3592561808359047,0.45119269328517575,0.07455198403061636
2022-01-13,0.36994997975193655,0.5070665701363923,-0.03664799114249261
2022-01-14,0.3149143169143258,0.4200893867293978,0.05743437640628957
2022-01-15,0.34987544700499384,0.49332670413689694,0.021986731906501827
2022-01-16,0.3431739609930595,0.4776507370972105,-0.009502463164542691
2022-01-17,0.340066500513295,0.4469053626452375,0.03442590017314645
2022-01-18,0.32033456709839925,0.48163228539853975,-0.0665434697000721
2022-01-19,0.33980087537010206,0.39018953517363286,-0.035667117342418314
2022-01-20,0.32380594950531005,0.392803685308329,-0.048888918809629506
2022-01-21,0.31102686696830517,0.37204394305706856,-0.1309175105624192
2022-01-22,0.22343765628875367,0.27892356633063464,-0.05381326613887789
2022-01-23,0.2760617803834329,0.31984227755289574,0.03289603966720466
2022-01-24,0.3523166250736658,0.4066293669391383,-0.022637883082629966
2022-01-25,0.34122407296491275,0.3774001726209075,-0.014023093072746583
2022-01-26,0.3415143094323092,0.383036557313158,-0.007245361047128456
2022-01-27,0.3322563557893865,0.3912965884332005,-0.0028741821249607087
2022-01-28,0.3423309329961235,0.3990295469982179,0.023159165421129776
2022-01-29,0.3538633747402109,0.42862570555671553,0.012644419282710699
2022-01-30,0.34912760565429224,0.4291992739734187,-0.01848768869384831
2022-01-31,0.33373458045969073,0.4017096848678632,0.007221421913252133
2022-02-01,0.35198574848253905,0.4193398843804479,0.0516806746887936
2022-02-02,0.3463564130030221,0.46730726132453526,-0.06117699551461443
2022-02-03,0.29190765313312284,0.3715020261105808,0.01601658037133786
2022-02-04,0.3353067890753554,0.4220599898922561,0.09198970945537353
2022-02-05,0.4445263520060543,0.5075913626446518,0.008181944911376355
2022-02-06,0.3528421185381614,0.454618131768596,0.044329089761250426
2022-02-07,0.36925167592693064,0.4830093842588363,0.07308229458334294
2022-02-08,0.38108775153526153,0.5215517329409876,-0.023245330212471632
2022-02-09,0.35585524875073204,0.4416678187983436,0.04530991625633352
2022-02-10,0.35291569172471604,0.48992912071833317,-0.03695449040807356
2022-02-11,0.32822438859246716,0.4192764778334377,-0.06943315217299655
2022-02-12,0.3139798361164683,0.36631921059907846,0.0053088988832711926
2022-02-13,0.33203067882759285,0.4169534894029807,-0.0036900516639054616
2022-02-14,0.3352131436035588,0.41583318807412617,-0.010638176962005492
2022-02-15,0.34788879222893954,0.4101358837368565,0.05434725479640504
2022-02-16,0.38588215206535104,0.4731784474165268,-0.027700037232810913
2022-02-17,0.33352055710079753,0.4115257453553127,-0.09665377087686165
2022-02-18,0.26187529885987715,0.32932981320987587,-0.009813002361684052
2022-02-19,0.31437877691688243,0.38461591767227077,0.004461014327683192
