,Crypto,Num Subidas (Real),Perc Subidas (Real),Num Quedas (Real),Num Subidas (Pred),Perc Subidas (Pred),Num Quedas (Pred),MAE,Acc,Sen,Spe,Pre,Lower bound dos 10% maiores,Precisao para maiores que 0.008
0,BTC-USD,56,56.0,44,74,74.0,26,0.03493201962641367,0.52,0.7321428571428571,0.25,0.5540540540540541,0.004613450728356838,0.56
1,ETH-USD,52,52.0,48,54,54.0,46,0.03284034718709358,0.54,0.5769230769230769,0.5,0.5555555555555556,0.0024395419750362635,0.64
