Date,Volume,Crypto_Return_Today,exp_value,volatility
2017-08-07,1209162984,0.014092783748275715,0.02483668998645746,
2017-08-14,1132872008,0.008661501782387365,-0.0011958949729116066,
2017-08-21,2382995008,0.280714730886694,0.0034286726391501657,
2017-08-28,5316084064,0.22495085132833884,0.1093473953253669,
2017-09-04,5224094048,-0.2194391722083664,0.12086302550707656,
2017-09-11,4506409936,-0.2400563422897837,0.08853299883546609,
2017-09-18,1527227120,-0.01896913395671856,-0.024955270122055492,
2017-09-25,1222865000,0.13574415732007936,-0.06795986624928008,
2017-10-02,543041596,-0.02608202772348771,0.028179696688380745,
2017-10-09,1765710580,0.2097049869682375,0.10605899720601747,
2017-10-16,1237429416,-0.14570203215254965,0.17066602751315474,
2017-10-23,861045008,0.005895864346151864,0.23723239689552592,
2017-10-30,880469200,-0.03753220228976675,0.08638053513747408,
2017-11-06,2052605040,0.07468358216837111,0.010331589382673556,
2017-11-13,1791978992,0.1904329702775004,0.2247132085568726,
2017-11-20,2026523984,0.18501585897882927,0.1985561276256523,
2017-11-27,3415208960,0.16465716123519322,-0.1777639872136319,
2017-12-04,6892519904,0.38262816456517984,0.3324815721654188,
2017-12-11,20995229824,0.7653558487756811,-0.15700532099610914,
2017-12-18,13190609792,-0.14471532656021513,0.6134453355390805,
2017-12-25,8124667136,-0.17864821901867461,0.39152499574235283,
2018-01-01,13598662208,0.21922850779304193,0.3686055838765543,
2018-01-08,6750822976,-0.18690237739722756,-0.033266169279925185,
2018-01-15,5930699936,-0.22004137575710866,0.12483604235986459,
2018-01-22,2705567968,0.010761080434978266,0.11211360045518351,
2018-01-29,4149256992,-0.2691927288677754,0.3909253218187496,
2018-02-05,5474355968,0.0017667821953114996,0.2422155333689244,
2018-02-12,8664419040,0.3627269896489323,0.12314842209750547,
2018-02-19,7709048064,0.023217968444163944,-0.1080754575143998,
2018-02-26,5477081088,-0.03826251009540258,0.15318930759016766,0.22505552063950465
2018-03-05,4862890944,-0.12329909336955532,-0.06998410309175813,0.22722322788588026
2018-03-12,3517377024,-0.20439866203208693,-0.09719350616825291,0.23173405002609335
2018-03-19,2745015008,0.02921368893475694,0.046886933519431045,0.2272109451060599
2018-03-26,2635477056,-0.32934378863181546,0.23783473588663392,0.23335707878292983
2018-04-02,1960809024,0.020901701540790504,-0.2041805242737019,0.22920434755238583
2018-04-09,2271902992,0.11429883565991963,0.12520106383667984,0.22438712399700075
2018-04-16,2926693984,0.10633451638694623,-0.06111904278493534,0.22456336613731218
2018-04-23,3157463008,0.04635482056838707,0.11360673825975838,0.223794423271754
2018-04-30,3656760992,0.11167324316532513,0.22637470947093347,0.22394007693950987
2018-05-07,3238245024,-0.17220404611219797,0.27569046798032604,0.22470980521682762
2018-05-14,2679780000,-0.034654286313869,-0.058585508168794015,0.22269806766137717
2018-05-21,2154332992,-0.16847950866715944,0.08696570299744383,0.2255841803657572
2018-05-28,2173174048,0.06221452788218932,0.4085929314186442,0.2253903469689739
2018-06-04,2218457024,-0.15676034961696192,-0.013041260842491938,0.22764144398128275
2018-06-11,2187769024,-0.10311351925081516,0.01665272942757845,0.226323385743169
2018-06-18,2438580992,-0.17029250878229782,-0.04225142750471593,0.22610282161037767
2018-06-25,2183632016,-0.0015404198337872661,-0.04410048676130341,0.22388780586965384
2018-07-02,1966468000,0.026169636362700886,0.3562446297041173,0.21155138034875903
2018-07-09,1821533024,-0.044657230348472056,0.3395672782249163,0.15082886174035745
2018-07-16,2112472960,0.05178436685010477,0.12505118752456867,0.1507081613916223
2018-07-23,2248679008,0.010191607836841095,0.039390798630442175,0.14866919836603668
2018-07-30,2047043000,-0.12065002304026433,-0.12518108365486455,0.1414656668420621
2018-08-06,1943946000,-0.2352260793982384,0.13840158174318043,0.14339278290007507
2018-08-13,1678903000,-0.026311603317484528,0.02220586353887645,0.13965166860535785
2018-08-20,1454515000,-0.009966937997233177,0.08147665068731058,0.1394394360080627
2018-08-27,1751509000,0.136738364402221,0.18831100090677474,0.13622939679326013
2018-09-03,2010366000,-0.1809332064357032,0.026790857059642972,0.13891684240088975
2018-09-10,1951238000,0.0353535753114666,-0.27573495544410065,0.11795990457706794
2018-09-17,2092012000,0.07345865041101143,-0.18341551587021845,0.1193085938653905
2018-09-24,2795250000,-0.003223340636393955,-0.006766762114469738,0.11952969898531537
2018-10-01,2880439000,-0.04928591560894559,0.06589589858249799,0.11855391237946056
2018-10-08,2127505000,-0.10959049652154614,-0.022440873811088793,0.11522480587133985
2018-10-15,2109173000,0.01412145632540119,0.01014724693746627,0.11496116985823648
2018-10-22,2013974000,-0.016178395704997614,-0.17432517302166398,0.10084050534099696
2018-10-29,2530137000,0.03376103411191087,0.05436951957631106,0.10107577686456086
2018-11-05,2626622000,-0.042469023609296865,0.1072623679557549,0.09756252079419152
2018-11-12,3032310000,-0.19569061430695722,0.13943892553437753,0.09845494152937753
2018-11-19,3596655000,-0.3152143839502409,0.1711438336347206,0.10892675127896156
2018-11-26,3332532551,0.08814524325222457,-0.2180098294361679,0.1077761268925657
2018-12-03,3170121688,-0.264708334677962,-0.06606114902602159,0.11249029243900388
2018-12-10,2541826596,-0.012210703228461628,0.019024829266370377,0.11272003093074048
2018-12-17,3927903400,0.26452020159930134,-0.08365496324405966,0.12494422318049782
2018-12-24,3234993952,-0.04575478618765711,-0.08863769489707768,0.12338254209859482
2018-12-31,3347687080,0.20617117064557178,0.2283817920497891,0.12974150223321693
2019-01-07,4121314018,-0.25847630060991644,-0.02150255498858529,0.13558302927362317
