,profit,cumulative_profit
2022-07-02,1.0003,1.0003
2022-07-03,1.0003,1.0006000899999998
2022-07-04,1.0003,1.0009002700269998
2022-07-05,1.0003,1.0012005401080077
2022-07-06,1.0003,1.0015009002700401
2022-07-07,1.0003,1.001801350540121
2022-07-08,1.0003,1.002101890945283
2022-07-09,0.9942615425681554,0.9963513719017225
2022-07-10,0.9639234292701901,0.960406431161567
2022-07-11,1.0003,0.9606945530909154
2022-07-12,1.0003,0.9609827614568427
2022-07-13,1.0003,0.9612710562852798
2022-07-14,1.0003,0.9615594376021653
2022-07-15,1.0003,0.961847905433446
2022-07-16,1.0003,0.962136459805076
2022-07-17,0.9763726177232017,0.9394036938668161
2022-07-18,1.0003,0.9396855149749761
2022-07-19,1.0280486838454408,0.9660424568986494
2022-07-20,0.937563899593872,0.9057265330631428
2022-07-21,0.9970485227103353,0.9030533017701602
2022-07-22,1.0003,0.9033242177606912
2022-07-23,1.0003,0.9035952150260194
2022-07-24,1.0003,0.9038662935905272
2022-07-25,0.9038407223775707,0.8169511637315995
2022-07-26,0.9994279045657767,0.8164837897008452
2022-07-27,1.0003,0.8167287348377554
2022-07-28,1.0259792737104785,0.8379467541873182
2022-07-29,1.0003,0.8381981382135744
2022-07-30,1.0003,0.8384495976550385
2022-07-31,1.053173778076882,0.8830331304893985
2022-08-01,1.0003,0.8832980404285452
2022-08-02,0.968861634914158,0.8557935835660724
2022-08-03,1.0086452856176866,0.8631921635257847
2022-08-04,1.0003,0.8634511211748424
2022-08-05,1.0003,0.8637101565111948
2022-08-06,1.0003,0.8639692695581481
2022-08-07,1.0003,0.8642284603390156
2022-08-08,1.0718255655383746,0.9263021582572241
2022-08-09,0.9608860184131398,0.8900707926952821
2022-08-10,1.0003,0.8903378139330906
2022-08-11,1.0003,0.8906049152772705
2022-08-12,1.0409992902876632,0.927119084730343
2022-08-13,1.035333335170574,0.959877294094156
2022-08-14,0.9773030242143372,0.9380909823928935
2022-08-15,1.0003,0.9383724096876113
2022-08-16,0.9780821000254816,0.9178052570732304
2022-08-17,1.0003,0.9180805986503523
2022-08-18,1.0072487993780772,0.9247355807228738
2022-08-19,1.0003,0.9250130013970906
2022-08-20,0.9996739785304889,0.9247114272990583
2022-08-21,1.0266206684767283,0.9493278636418288
2022-08-22,0.9926156816546687,0.9423177244826043
2022-08-23,1.024542239900222,0.9654443121390877
2022-08-24,1.0003,0.9657339454327294
2022-08-25,1.0003,0.9660236656163592
2022-08-26,1.0003,0.9663134727160441
2022-08-27,1.0003,0.9666033667578589
2022-08-28,1.0003,0.9668933477678862
2022-08-29,1.0681531679428402,1.0327901924811258
2022-08-30,1.0003,1.0331000295388701
2022-08-31,1.0003,1.0334099595477317
2022-09-01,1.0003,1.033719982535596
2022-09-02,1.0003,1.0340300985303568
2022-09-03,1.0003,1.0343403075599158
2022-09-04,1.0003,1.0346506096521837
2022-09-05,0.9919849818068895,1.0263578661923085
2022-09-06,1.0003,1.0266657735521663
2022-09-07,1.0003,1.026973773284232
2022-09-08,1.0003,1.027281865416217
2022-09-09,1.0337171870353177,1.0619189202104458
2022-09-10,1.002336925504023,1.0644005456182901
2022-09-11,0.9920178961887981,1.055904389966465
2022-09-12,0.966613322259907,1.0206512503743053
2022-09-13,1.0003,1.0209574457494175
2022-09-14,1.0003,1.0212637329831422
2022-09-15,1.0003,1.0215701121030372
2022-09-16,0.9841240921740639,1.005351759165558
2022-09-17,1.0003,1.0056533646933077
2022-09-18,0.9085692012019775,0.9137056742454795
2022-09-19,1.0003,0.9139797859477532
2022-09-20,0.9613602641630312,0.8786638484584027
2022-09-21,1.0003,0.8789274476129402
2022-09-22,1.0608139793462104,0.9323785232588909
2022-09-23,1.0003,0.9326582368158686
2022-09-24,0.9713680451071337,0.9059544082488964
2022-09-25,1.0003,0.906226194571371
2022-09-26,1.0003,0.9064980624297424
2022-09-27,1.0003,0.9067700118484713
2022-09-28,1.0003,0.9070420428520258
2022-09-29,1.0003,0.9073141554648814
2022-09-30,1.0003,0.9075863497115207
2022-10-01,1.0003,0.9078586256164342
2022-10-02,1.0003,0.908130983204119
2022-10-03,1.0199073696625987,0.9262094823888226
2022-10-04,1.0003,0.9264873452335393
2022-10-05,1.0003,0.9267652914371093
2022-10-06,1.0003,0.9270433210245403
2022-10-07,1.0003,0.9273214340208477
2022-10-08,1.0003,0.9275996304510539
2022-10-09,1.0003,0.9278779103401892
2022-10-10,1.0003,0.9281562737132912
2022-10-11,1.0003,0.9284347205954052
2022-10-12,1.0003,0.9287132510115839
2022-10-13,1.0003,0.9289918649868874
2022-10-14,1.0003,0.9292705625463834
2022-10-15,1.0003,0.9295493437151473
2022-10-16,1.0418106045998983,0.9684143637813163
2022-10-17,1.0003,0.9687048880904506
2022-10-18,1.0003,0.9689954995568777
2022-10-19,1.0003,0.9692861982067448
2022-10-20,1.0003,0.9695769840662067
2022-10-21,1.0003,0.9698678571614265
2022-10-22,1.0003,0.9701588175185749
2022-10-23,1.0003,0.9704498651638305
2022-10-24,0.9743942698960959,0.9456007878370754
2022-10-25,1.0003,0.9458844680734264
2022-10-26,1.0003,0.9461682334138484
2022-10-27,0.9665144463839341,0.9144852663040506
2022-10-28,1.0003,0.9147596118839417
2022-10-29,1.0003,0.9150340397675069
2022-10-30,1.0003,0.9153085499794371
2022-10-31,1.0003,0.915583142544431
2022-11-01,1.0003,0.9158578174871943
2022-11-02,1.0003,0.9161325748324405
2022-11-03,1.0003,0.9164074146048902
2022-11-04,1.0003,0.9166823368292716
